age,gender,is_war,opinion_war,region_text,confidence_gov_media,confidence_casualties,confidence_civillian_casualties,assignment_started_time,assignment_submitted_time
young,man,uncertain,negative,Тверь,negative,uncertain,uncertain,1646128994.937,1646129037.303
young,man,yes,positive,Масква,negative,negative,yes,1646128999.521,1646129046.729
young,woman,yes,negative,Тюмень,negative,uncertain,uncertain,1646129014.582,1646129131.987
kid,man,uncertain,negative,Каспийск ,negative,uncertain,uncertain,1646129020.286,1646129068.75
young,woman,uncertain,negative,Самара,negative,uncertain,no,1646129065.381,1646129120.608
kid,man,no,positive,Нижегородская область,positive,positive,yes,1646129138.078,1646129179.824
young,man,no,positive,Самара,negative,negative,no,1646129180.222,1646129215.512
young,woman,uncertain,negative,Москва ,negative,uncertain,uncertain,1646129195.516,1646129249.219
kid,man,no,negative,пермь,negative,uncertain,yes,1646129195.912,1646129229.408
young,man,yes,negative,Грозный,negative,uncertain,uncertain,1646129209.508,1646129242.965
young,man,uncertain,negative,Ро,negative,uncertain,uncertain,1646129230.524,1646129271.233
young,woman,uncertain,positive,санкт-петербург,negative,negative,uncertain,1646129239.153,1646129307.848
young,woman,yes,negative,Барнаул,negative,uncertain,no,1646129265.635,1646129340.172
kid,man,yes,positive,Саратов,positive,positive,yes,1646129268.33,1646129364.274
kid,woman,uncertain,negative,Екатеринбург,positive,negative,no,1646129327.65,1646129377.747
young,man,no,positive,Республика Бурятия ,negative,negative,uncertain,1646129377.247,1646129438.23
young,man,uncertain,positive,Талица,positive,uncertain,yes,1646129424.289,1646129481.745
young,man,yes,positive,Саратов,positive,uncertain,no,1646129472.671,1646129534.668
kid,woman,yes,positive,Екатеринбург ,negative,uncertain,uncertain,1646129590.252,1646129665.877
kid,man,uncertain,positive,Татарстан,negative,uncertain,yes,1646129594.424,1646129641.026
young,woman,uncertain,positive,Саратов,negative,uncertain,uncertain,1646129619.229,1646129664.017
young,man,no,positive,Новосибирск ,positive,uncertain,yes,1646129655.354,1646129739.539
young,woman,yes,negative,Москва ,negative,uncertain,uncertain,1646129750.971,1646129804.884
young,man,yes,positive,Барнаул,negative,positive,yes,1646129797.513,1646129927.406
kid,man,no,positive,Великий Новгород,positive,uncertain,yes,1646129898.021,1646129957.892
kid,man,no,positive,Самара,positive,negative,yes,1646129914.263,1646129965.062
young,man,no,negative,Челябинск,positive,positive,no,1646129944.09,1646130034.024
kid,woman,uncertain,positive,смоленск,positive,negative,yes,1646129981.455,1646130028.366
young,man,yes,negative,хуй,negative,negative,uncertain,1646129991.024,1646130100.337
young,man,no,positive,Краснодар,positive,negative,yes,1646129992.412,1646130038.526
young,man,yes,negative,Республика Татарстан,positive,uncertain,no,1646130030.268,1646130099.384
young,woman,uncertain,negative,Ревда,negative,uncertain,uncertain,1646130038.019,1646130087.114
kid,woman,uncertain,negative,Ростов,positive,positive,yes,1646130038.931,1646130103.485
young,man,uncertain,positive,Москва,positive,uncertain,yes,1646130040.871,1646130105.225
young,man,yes,negative,Москва,negative,uncertain,no,1646130060.538,1646130102.39
young,man,yes,negative,Омская область,negative,negative,no,1646130063.782,1646130096.062
young,man,yes,negative,Тюмень,negative,negative,no,1646130076.867,1646130118.777
young,woman,yes,negative,Москва,negative,uncertain,no,1646130122.887,1646130149.817
young,man,yes,negative,Тверская обл,negative,uncertain,uncertain,1646130162.486,1646130202.184
young,man,yes,positive,Иркутск ,positive,uncertain,yes,1646130197.168,1646130248.81
kid,woman,yes,negative,Москва ,negative,uncertain,no,1646130223.146,1646130299.539
young,man,uncertain,negative,Уфа,negative,uncertain,uncertain,1646130260.082,1646130315.097
young,man,uncertain,positive,Москва ,negative,uncertain,yes,1646130311.491,1646130362.98
young,woman,uncertain,negative,Воронеж,negative,negative,no,1646130333.904,1646130383.186
kid,man,yes,positive,Казань,negative,uncertain,yes,1646130360.464,1646130395.947
kid,woman,uncertain,negative,москва ,positive,uncertain,uncertain,1646130416.753,1646130472.842
kid,man,uncertain,negative,Казань,positive,negative,no,1646130904.986,1646130952.799
